IATA,Lat,Lon,Country,Continent
DUS,51.289501,6.766780000000001,Germany,Europe
DUT,53.90010071,-166.5440063,United States,North America
DVL,48.11420059,-98.90879822,United States,North America
DVO,7.125520229,125.6460037,Philippines,Asia
DVT,33.68830109,-112.08300020000001,United States,North America
DWA,-12.5183,34.131901,Malawi,Africa
DWB,-16.101689999999998,45.358837,Madagascar,Africa
DWC,24.896356,55.161389,United Arab Emirates,Asia
DWD,24.4499,44.121201,Saudi Arabia,Asia
DWH,30.0618,-95.55280304,United States,North America
DXB,25.25279999,55.36439896,United Arab Emirates,Asia
DXR,41.37149811,-73.48220062,United States,North America
DYA,-22.62220001,148.3639984,Australia,Oceania
DYG,29.1028,110.443001,China,Asia
DYL,40.33300018,-75.12229919,United States,North America
DYR,64.734902,177.740997,Russia,Europe
DYS,32.42079926,-99.854599,United States,North America
DYU,38.54330063,68.82499695,Tajikistan,Asia
DZA,-12.804699900000001,45.28110123,Mayotte,Africa
DZN,47.708302,67.733299,Kazakhstan,Asia
DZO,-33.35889816,-56.49919891,Uruguay,South America
EAA,64.77639771,-141.151001,United States,North America
EAE,-17.09029961,168.3430023,Vanuatu,Oceania
EAM,17.611400600000003,44.41920089999999,Saudi Arabia,Asia
EAS,43.35649872,-1.790609956,Spain,Europe
EAT,47.39889908,-120.2070007,United States,North America
EAU,44.86579895,-91.48429871,United States,North America
EBA,42.7603,10.2394,Italy,Europe
EBB,0.042386,32.443501,Uganda,Africa
EBD,13.15320015,30.23270035,Sudan,Africa
EBG,7.59647,-74.8089,Colombia,South America
EBH,33.72166667,1.0925,Algeria,Africa
EBJ,55.525902,8.5534,Denmark,Europe
EBL,36.23759842,43.96319962,Iraq,Asia
EBM,31.70429993,9.254619598,Tunisia,Africa
EBU,45.54059982,4.296390057,France,Europe
ECA,44.312801,-83.422302,United States,North America
ECG,36.26060104,-76.17459869,United States,North America
ECH,-36.15719986,144.76199340000002,Australia,Oceania
ECI,11.427541999999999,-86.033361,Nicaragua,North America
ECN,35.15470123,33.49610138,Cyprus,Asia
ECP,30.357105999999998,-85.79541400000001,United States,North America
ECV,40.370701000000004,-3.78514,Spain,Europe
